relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
NYT_ENG_20071116.0057.LDC2009T13_110_28-NYT_ENG_20071116.0057.LDC2009T13_110_46,NYT_ENG_20071116.0057.LDC2009T13_110,Linda Avey-Sergey Brin,,0.997,"{A,similar,service,"","",using,a,smaller,but,custom-made,analytic,device,"","",is,expected,to,be,announced,soon,by,23andMe,"","",a,Google,-,financed,company,founded,by,Linda,Avey,"","",a,biotechnology,executive,"","",and,Anne,Wojcicki,"","",a,health-care,investor,who,is,married,to,Sergey,Brin,"","",Google,'s,co-founder,.}",28,2,46,2,2,"{NGRAM_1_[marry],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_2_[marry to]"",""NGRAM_1_[,]"",""BETW_L_[dep dep]""}","{3.68226,-2.15061,2.03006,1.62838,-1.35882,0.727786}"
NYT_ENG_20070603.0126.LDC2009T13_852_20-NYT_ENG_20070603.0126.LDC2009T13_852_49,NYT_ENG_20070603.0126.LDC2009T13_852,Shanks-Andrea Mitchell,,1,"{``,There,are,millions,of,gadgets,out,there,where,we,could,sell,a,lot,of,product,digitally,"","",'',said,Shanks,"","",before,turning,his,attention,to,the,keynote,address,by,Alan,Greenspan,"","",the,former,Federal,Reserve,chairman,"","",who,appeared,with,his,wife,"","",the,NBC,correspondent,Andrea,Mitchell,"","",to,promote,Greenspan,'s,forthcoming,memoir,"","",``,The,Age,of,Turbulence,.,''}",20,1,49,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",NGRAM_1_[by],NGRAM_1_[with]}","{5.01088,-2.15061,2.03006,-1.35882,-1.04255,0.916859}"
107031@16_45-107031@16_54,107031@16,Laurie David-Larry David,t,1,"{Ullman,does,Zellweger,and,Rita,Cosby,"","",but,she,also,has,less,familiar,targets,"","",like,Huffington,"","",a,Greek-born,former,Republican,muse,and,hostess,in,Washington,who,is,now,a,Los,Angeles,liberal,and,co-founder,of,The,Huffington,Post,-LRB-,huffingtonpost.com,-RRB-,"","",and,Laurie,David,"","",the,estranged,wife,of,the,comedian,Larry,David,and,a,prominent,and,quite,ferocious,environmentalist,and,fundraiser,in,Hollywood,.}",45,2,54,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_L_1_R_1_[and]_[and],""BETW_L_[appos prep_of dep]"",""NGRAM_1_[,]""}","{5.01088,-2.15061,2.03006,-1.72326,1.35883,-1.35882}"
eng-WL-107-174567-12931899_10_7-eng-WL-107-174567-12931899_10_0,eng-WL-107-174567-12931899_10,Hayden Christensen-Rachel Bilson,t,1,"{Rachel,Bilson,and,her,long,time,love,Hayden,Christensen,were,spotted,here,shortly,before,the,American,Thanksgiving,at,LAX,as,they,arrived,to,catch,an,Air,Canada,flight,.}",7,2,0,2,2,"{INV_LEMMA_L_1_R_1_[.]_[be],""INV_BETW_L_[nsubjpass nsubjpass]"",INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True],""INV_LEMMA_L_1_R_2_[.]_[be spot]"",""INV_NER_L_1_R_2_[O]_[O O]""}","{2.24697,-1.55362,1.24168,-1.149,1.0794,0.995178}"
APW_ENG_20070321.0324.LDC2009T13_128_15-APW_ENG_20070321.0324.LDC2009T13_128_0,APW_ENG_20070321.0324.LDC2009T13_128,Dharmendra-Malini,,1,"{Malini,"","",who,is,also,an,accomplished,classical,dancer,"","",is,married,to,Bollywood,actor,Dharmendra,and,one,of,their,two,daughters,"","",Esha,Deol,"","",has,followed,them,into,the,film,industry,.}",15,1,0,1,1,"{INV_NGRAM_1_[marry],INV_KW_IND_[non_married],""INV_NGRAM_2_[marry to]"",""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{4.10193,-2.56873,1.55948,-1.42472,1.17156,-1.149}"
APW_ENG_20080317.0831.LDC2009T13_255_13-APW_ENG_20080317.0831.LDC2009T13_255_16,APW_ENG_20080317.0831.LDC2009T13_255,Bjorn Ulvaeus-Benny Andersson,,0.99,"{ABBA,"","",with,the,four,regular,members,Agnetha,Faltskog,"","",Anni-Frid,Lyngstad,"","",Bjorn,Ulvaeus,and,Benny,Andersson,"","",was,one,of,the,world,'s,most,successful,bands,"","",with,album,sales,of,more,than,370,million,.}",13,2,16,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],""NER_L_3_R_2_[PERSON PERSON O]_[O O]"",""NER_L_2_R_1_[PERSON O]_[O]"",""BETW_D_[conj_and Faltskog conj_and]""}","{-2.15061,2.03006,1.56175,-0.979175,-0.905711,0.816432}"
groups.google.com_humanities.lit.authors.shakespeare_d79e05dd6f37722d_ENG_20050924_085700.LDC2006E32_499_55-groups.google.com_humanities.lit.authors.shakespeare_d79e05dd6f37722d_ENG_20050924_085700.LDC2006E32_499_51,groups.google.com_humanities.lit.authors.shakespeare_d79e05dd6f37722d_ENG_20050924_085700.LDC2006E32_499,Geoffrey de Say-Alice,,0.992,"{Agnes,and,Aubrey,de,Vere,had,at,least,four,sons,and,a,daughter,:,Aubrey,-LRB-,IV,-RRB-,de,Vere,"","",second,earl,of,Oxford,;,Roger,;,Robert,de,Vere,"","",the,third,earl,;,Henry,"","",possibly,a,clerk,of,his,uncle,"","",Bishop,William,of,Hereford,;,and,Alice,"","",wife,of,Geoffrey,de,Say,.}",55,3,51,1,1,"{INV_NGRAM_1_[wife],INV_KW_IND_[non_married],""INV_NGRAM_2_[wife of]"",""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]""}","{3.74889,-2.56873,1.43337,-1.42472,-1.149,1.0885}"
APW_ENG_20080702.0998.LDC2009T13_270_25-APW_ENG_20080702.0998.LDC2009T13_270_29,APW_ENG_20080702.0998.LDC2009T13_270,Piyush Chawla-Virender Sehwag,,0.991,"{Bowling,:,Praveen,Kumar,8.3-1-61-0,"","",Irfan,Pathan,10-0-68-0,-LRB-,1w,-RRB-,"","",Ishant,Sharma,10-1-63-0,-LRB-,3nb,1w,-RRB-,"","",Yusuf,Pathan,4-0-29-0,"","",Piyush,Chawla,8-0-53-1,"","",Virender,Sehwag,5-0-34-0,.}",25,2,29,2,2,"{STARTS_WITH_CAPITAL_[True_True],""NGRAM_1_[,]"",""BETW_L_[nn appos appos]"",""NER_L_2_R_2_[NUMBER O]_[NUMBER O]"",""NER_L_2_R_1_[NUMBER O]_[NUMBER]"",""NER_L_3_R_1_[PERSON NUMBER O]_[NUMBER]""}","{-2.15061,-1.35882,1.11226,1.04109,1.04109,0.899185}"
143575@66_32-143575@66_15,143575@66,Smith-Pitt,,0.942,"{A,dark,period,"","",when,Jolie,was,cast,as,the,man,eater,who,broke,up,Pitt,'s,marriage,to,Jennifer,Aniston,during,the,production,of,the,2005,caper,``,Mr.,and,Mrs.,Smith,"","",'',is,behind,her,.}",32,1,15,1,1,"{INV_NGRAM_1_[marriage],INV_NGRAM_1_[Jennifer],""INV_NGRAM_2_[marriage to]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{1.87293,-1.63074,1.35149,-1.22689,1.17156,-1.149}"
90491@33_9-90491@33_4,90491@33,Michelle-Obama,,1,"{A,glamorous,picture,of,Obama,and,his,wife,"","",Michelle,"","",beamed,from,the,February,cover,of,Ebony,magazine,"","",lying,on,a,nearby,table,.}",9,1,4,1,1,"{INV_NGRAM_1_[wife],""INV_NGRAM_1_[,]"",""INV_POS_SEQ_[CC PRP$ NN ,]"",""INV_LEMMA_SEQ_[and he wife ,]"",""INV_WORD_SEQ_[and his wife ,]"",""INV_NER_L_3_R_2_[O O O]_[O O]""}","{3.74889,-1.42472,1.42341,1.27085,1.27085,-1.22689}"
NYT_ENG_20081118.0149.LDC2009T13_639_19-NYT_ENG_20081118.0149.LDC2009T13_639_40,NYT_ENG_20081118.0149.LDC2009T13_639,Lasorda-Bob Waterfield,,0.999,"{It,became,possible,again,to,envision,Hollywood,stars,coming,out,to,Dodger,Stadium,"","",in,the,Dodgers,tradition,of,Lasorda,'s,heyday,and,in,an,L.A.,sports,tradition,dating,back,to,Jane,Russell,'s,marriage,to,UCLA,and,Rams,quarterback,Bob,Waterfield,.}",19,1,40,2,2,"{NGRAM_1_[marriage],""NGRAM_2_[marriage to]"",STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[date],NGRAM_1_[Jane]}","{2.28325,2.15837,-2.15061,2.03006,1.50016,-1.34697}"
eng-NG-31-133789-9580824_16_33-eng-NG-31-133789-9580824_16_1,eng-NG-31-133789-9580824_16,Katie Holmes-Tom Cruise,t,1,"{""\\*"",Tom,Cruise,:,Suri,Cruise,is,n't,any,different,from,my,adopted,children,""\\*"",The,`,Lions,for,Lambs,',actor,has,an,18-month-old,biological,daughter,"","",Suri,"","",with,his,wife,Katie,Holmes,"","",and,two,adopted,children,-,14-year-old,Isabella,and,12-year-old,Connor,with,ex-wife,Nicole,Kidman,-,but,insists,he,loves,them,all,equally,.}",33,2,1,2,2,"{INV_NGRAM_1_[wife],INV_KW_IND_[non_married],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[with],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]""}","{3.74889,-2.56873,-1.42472,1.42247,-1.22689,1.17156}"
79572@28_5-79572@28_19,79572@28,Roche-Plath,,0.945,"{At,Smith,College,"","",where,Roche,taught,for,two,years,toward,the,end,of,the,decade,"","",he,befriended,Plath,"","",who,was,also,teaching,there,"","",and,her,husband,"","",Hughes,.}",5,1,19,1,1,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",NGRAM_1_[two],NGRAM_1_[he],NGRAM_1_[for]}","{-2.15061,2.03006,-1.35882,1.08012,0.786486,-0.785042}"
152747@30_0-152747@30_2,152747@30,Kelly-Walsh,,1,"{Kelly,and,Walsh,"","",both,staged-trained,actors,"","",strip,Breda,and,Billy,bare,"","",exposing,their,hopes,and,desires,.}",0,1,2,1,1,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],""NER_L_3_R_1_[O O O]_[O]"",NER_SEQ_[O]}","{-2.15061,2.03006,1.56175,0.724491,0.488205,0.474}"
AFP_ENG_20080921.5006.LDC2009T13_44_25-AFP_ENG_20080921.5006.LDC2009T13_44_28,AFP_ENG_20080921.5006.LDC2009T13_44,Noel Hunt-John Eustace,,0.995,"{Reading,took,the,lead,in,farcical,circumstances,at,Vicarage,Road,on,Saturday,when,Stephen,Hunt,whipped,in,a,13th,minute,corner,that,was,contested,by,Noel,Hunt,and,John,Eustace,.}",25,2,28,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],LEMMA_L_1_R_1_[by]_[.],POS_SEQ_[CC],""NER_L_3_R_1_[O O O]_[O]""}","{-2.15061,2.03006,1.56175,-1.55454,0.724491,0.488205}"
66449@22_11-66449@22_8,66449@22,Catherine-Jill Pilot,,0.991,"{Wacky,neighbor,:,Beth,Ann,'s,BFF,"","",Jill,Pilot,:,Catherine,goes,through,the,roof,when,her,Verizon,hubby,brings,his,62,million-strong,network,of,friends,home,for,dinner,.}",11,1,8,2,2,"{""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_POS_SEQ_[:],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[:]}","{-1.22689,1.17156,-1.149,1.13563,0.995178,-0.909499}"
48456@5_21-48456@5_0,48456@5,Dempster-Vivien Merchant,,1,"{Vivien,Merchant,"","",wife,of,the,playwright,Harold,Pinter,"","",read,about,her,husband,'s,affair,with,Lady,Antonia,Fraser,in,Dempster,'s,column,.}",21,1,0,2,2,"{INV_NGRAM_1_[husband],INV_NGRAM_1_[wife],""INV_NGRAM_2_[wife of]"",""INV_NGRAM_1_[,]"",INV_NGRAM_1_[with],""INV_NGRAM_2_[husband 's]""}","{6.02373,3.74889,1.43337,-1.42472,1.42247,-1.28991}"
eng-WL-11-174588-12938623_3390_6-eng-WL-11-174588-12938623_3390_0,eng-WL-11-174588-12938623_3390,Charlie McDowell-Chenoweth,,0.992,"{Chenoweth,revealed,she,'s,been,dating,Charlie,McDowell,--,the,""writer\\/director"",son,of,Mary,Steenburgen,--,for,``,two,months,"","",three,months,.,''}",6,2,0,1,1,"{INV_KW_IND_[non_married],INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",""INV_NGRAM_2_[be be]"",INV_NGRAM_1_[date]}","{-2.56873,1.24168,-1.149,0.995178,0.758046,0.653035}"
eng-NG-31-146356-10387385_228_32-eng-NG-31-146356-10387385_228_64,eng-NG-31-146356-10387385_228,Sarkozy-Paul McCartney,,0.998,"{Paris,Hilton,reveals,an,icky,bunion,on,her,terrifying,size,11s,<,""http:\\/\\/www.onlines.ws\\/?p=250"",>,Now,Danielle,Lloyd,is,caught,up,in,nightclub,`,catfight,',over,ex,Jermain,Defoe,<,""http:\\/\\/www.onlines.ws\\/?p=240"",>,Sarkozy,'s,ex-wife,marries,in,NY,to,Moroccan-born,beau,<,""http:\\/\\/www.onlines.ws\\/?p=232"",>,Britney,Spears,reveals,her,unsightly,`,elephant,legs,',<,""http:\\/\\/www.onlines.ws\\/?p=214"",>,Heather,Mills,torn,to,shreds,by,judge,over,Paul,McCartney,divorce,<,""http:\\/\\/www.onlines.ws\\/?p=208"",>,Lonely,wives,club,:,Madonna,and,Gwyneth,out,together,...,without,either,of,their,husbands,<,""http:\\/\\/www.onlines.ws\\/?p=200"",>,What,made,Kylie,dance,on,the,table,?}",32,1,64,2,2,"{NGRAM_1_[ex-wife],NGRAM_1_[marry],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[beau],NGRAM_1_[she]}","{3.69797,3.68226,-2.15061,2.03006,1.44337,1.35843}"
73573@2_41-73573@2_38,73573@2,Mischa Barton-Demi Moore,,0.998,"{The,new,guides,are,by,Victoria,Beckham,"","",England,'s,``,poshest,'',expatriate,"","",style,icon,and,wife,of,soccer,superstar,David,Beckham,;,and,Rachel,Zoe,"","",a,Hollywood,stylist,with,a,client,list,that,includes,Demi,Moore,and,Mischa,Barton,.}",41,2,38,2,2,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_LEMMA_L_1_R_1_[include]_[.]}","{1.68884,1.17156,-1.149,-0.963997,0.821642,0.749514}"
21578@1_23-21578@1_13,21578@1,Stanley Kubrick-Alan Conway,,1,"{That,does,n't,speak,well,for,the,gullible,Brits,who,believed,con,artist,Alan,Conway,'s,claim,that,he,was,reclusive,film,director,Stanley,Kubrick,.}",23,2,13,2,2,"{INV_LEMMA_L_1_R_1_[artist]_[.],INV_NGRAM_1_[claim],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_SEQ_[O O O O O O O O]"",INV_NGRAM_1_[film]}","{1.42268,1.35667,1.17156,-1.149,0.997779,0.745034}"
NYT_ENG_20070420.0219.LDC2009T13_435_0-NYT_ENG_20070420.0219.LDC2009T13_435_13,NYT_ENG_20070420.0219.LDC2009T13_435,Hayden-Isabel Maxwell,,0.983,"{Hayden,was,a,co-founder,of,Magellan,with,his,wife,at,the,time,"","",Isabel,Maxwell,"","",the,daughter,of,Robert,Maxwell,"","",the,publisher,.}",0,1,13,2,2,"{NGRAM_1_[wife],KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",NGRAM_1_[with]}","{5.01088,-2.20027,-2.15061,2.03006,-1.35882,0.916859}"
LTW_ENG_20070125.0056.LDC2009T13_153_39-LTW_ENG_20070125.0056.LDC2009T13_153_36,LTW_ENG_20070125.0056.LDC2009T13_153,Linda Gray-Daphne Zuniga,,0.931,"{Guber,'s,yoga,and,Hollywood,connections,evidently,came,in,handy,;,featured,in,the,enormous,photos,are,yoga,stars,Rod,Stryker,"","",Shiva,Rea,and,Seane,Corn,"","",and,celebs,Lisa,Rinna,"","",Harry,Hamlin,"","",Daphne,Zuniga,and,Linda,Gray,.}",39,2,36,2,2,"{INV_LEMMA_SEQ_[and],""INV_LEMMA_L_1_R_1_[,]_[.]"",""INV_BETW_L_[conj_and conj_and]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[and],INV_POS_SEQ_[CC]}","{1.68884,-1.25667,-1.25409,-1.149,-0.963997,0.821642}"
AFP_ENG_20070422.0553.LDC2009T13_605_8-AFP_ENG_20070422.0553.LDC2009T13_605_11,AFP_ENG_20070422.0553.LDC2009T13_605,Serena Williams-Caroline Maes,,0.96,"{Venus,Williams,beat,Flipkens,7-5,"","",6-2,and,Serena,Williams,downed,Caroline,Maes,6-1,"","",6-4,.}",8,2,11,2,2,"{STARTS_WITH_CAPITAL_[True_True],""NER_L_2_R_1_[NUMBER O]_[NUMBER]"",""NER_L_2_R_2_[NUMBER O]_[NUMBER O]"",""NER_L_1_R_2_[O]_[NUMBER O]"",NGRAM_1_[down],NER_SEQ_[O]}","{-2.15061,1.04109,1.04109,0.599819,-0.48459,0.474}"
eng-WL-11-174595-12968511_1688_12-eng-WL-11-174595-12968511_1688_4,eng-WL-11-174595-12968511_1688,Rick Salomon-Pamela Anderson,t,1,"{Usmagazine.com,has,learned,that,Pamela,Anderson,had,divorce,papers,personally,served,to,Rick,Salomon,on,Dec.,28,.}",12,2,4,2,2,"{INV_NGRAM_1_[divorce],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[serve],""INV_NER_L_2_R_3_[O O]_[O DATE DATE]"",IS_INVERTED}","{2.05077,1.17156,-1.149,-0.636395,0.601067,0.57978}"
NYT_ENG_20070124.0097.LDC2009T13_609_13-NYT_ENG_20070124.0097.LDC2009T13_609_10,NYT_ENG_20070124.0097.LDC2009T13_609,Brad Pitt-Angelina Jolie,t,0.999,"{The,depth,of,her,commitment,mirrors,that,of,celebrities,like,Angelina,Jolie,and,Brad,Pitt,"","",who,have,become,global,citizens,"","",traveling,to,locations,such,as,Cambodia,and,Ethiopia,-,countries,from,which,Jolie,also,has,adopted,children,.}",13,2,10,2,2,"{INV_LEMMA_SEQ_[and],""INV_LEMMA_L_1_R_1_[like]_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{1.68884,-1.41501,-1.22689,1.17156,-1.149,0.995178}"
APW_ENG_20070901.0293.LDC2009T13_48_13-APW_ENG_20070901.0293.LDC2009T13_48_19,APW_ENG_20070901.0293.LDC2009T13_48,Abdullah Ahmad Badawi-Endon Mahmood,t,1,"{In,an,interview,Thursday,"","",Bush,said,he,tried,to,call,Prime,Minister,Abdullah,Ahmad,Badawi,when,his,wife,Endon,Mahmood,died,on,Oct.,20,"","",2005,"","",The,Star,and,New,Straits,Times,newspapers,reported,"","",citing,Malaysia,'s,national,news,agency,"","",Bernama,.}",13,3,19,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],""BETW_L_[dobj advcl nsubj]"",""NER_SEQ_[O O O]"",NGRAM_1_[when]}","{5.01088,-2.15061,1.86495,1.27871,0.994391,-0.873789}"
140913@31_13-140913@31_0,140913@31,Todd Palin-Buser,,0.98,"{Buser,has,known,the,Palins,for,some,20,years,and,often,trains,with,Todd,Palin,"","",a,four-time,winner,of,the,""2,000-mile"",Iron,Dog,snowmobile,race,.}",13,2,0,1,1,"{""INV_BETW_L_[prep_with nsubj]"",INV_NGRAM_1_[with],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{1.51463,1.42247,-1.22689,1.17156,-1.149,0.995178}"
eng-WL-11-174574-12937964_704_21-eng-WL-11-174574-12937964_704_0,eng-WL-11-174574-12937964_704,Rihanna-Diddy,,0.96,"{Diddy,claims,he,had,no,idea,Chris,Brown,was,going,to,use,his,Miami,mansion,to,arrange,a,hook,up,with,Rihanna,last,week,.}",21,1,0,1,1,"{INV_NGRAM_1_[Brown],INV_NGRAM_1_[with],INV_NGRAM_1_[claim],""INV_NGRAM_2_[Chris Brown]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_2_[he have]""}","{-2.09312,1.42247,1.35667,-1.33041,-1.149,-1.07426}"
NYT_ENG_20080116.0060.LDC2009T13_335_0-NYT_ENG_20080116.0060.LDC2009T13_335_37,NYT_ENG_20080116.0060.LDC2009T13_335,Peter Burrows-Todd Bartlem,,1,"{Peter,Burrows,'s,2003,biography,"","",``,Backfire,:,Carly,Fiorina,'s,High-Stakes,Battle,for,the,Soul,of,Hewlett-Packard,"","",'',about,the,former,Hewlett-Packard,czarina,"","",included,background,and,commentary,from,Fiorina,'s,first,husband,"","",Todd,Bartlem,.}",0,2,37,2,2,"{NGRAM_1_[husband],LEMMA_L_1_R_1_[.]_[.],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_2_[husband ,]"",""NGRAM_1_[,]""}","{4.84841,3.2141,-2.15061,2.03006,1.74408,-1.35882}"
AFP_ENG_20080429.0246.LDC2009T13_12_36-AFP_ENG_20080429.0246.LDC2009T13_12_57,AFP_ENG_20080429.0246.LDC2009T13_12,Christie-Yoko Ono,,0.999,"{Lyrics,to,the,song,``,Give,Peace,A,Chance,'',"","",handwritten,by,John,Lennon,"","",are,expected,to,sell,for,up,to,""300,000"",pounds,-LRB-,""380,000"",euros,"","",""592,500"",dollars,-RRB-,in,July,"","",auctioneers,Christie,'s,said,Tuesday.The,song,was,written,by,Lennon,during,his,1969,``,bed-in,'',in,Montreal,when,he,and,wife,Yoko,Ono,checked,into,suite,1742,at,the,Queen,Elizabeth,Hotel,and,stayed,in,bed,for,eight,days,in,a,peace,protest,.}",36,1,57,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_2_[he and]"",NGRAM_1_[write],NGRAM_1_[by]}","{5.01088,-2.15061,2.03006,1.30084,-1.21525,-1.04255}"
eng-NG-31-100600-11180561_100_17-eng-NG-31-100600-11180561_100_4,eng-NG-31-100600-11180561_100,Kathryn Crosby-Frankie Lane,,1,"{With,a,foreword,from,Frankie,Lane,"","",and,an,introduction,from,the,wife,of,Bing,Crosby,"","",Kathryn,Crosby,"","",it,'s,a,heavily,researched,labor,of,love,for,the,music,.}",17,2,4,2,2,"{INV_NGRAM_1_[wife],""INV_NGRAM_2_[wife of]"",""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{3.74889,1.43337,-1.42472,-1.22689,1.17156,-1.149}"
75763@15_49-75763@15_36,75763@15,Mahmoud Ahmadinejad-Andy Samberg,,0.947,"{In,recent,months,"","",he,dueted,with,raunchy,hip-hoppers,Ying,Yang,Twins,"","",sang,on,Kanye,West,'s,``,Late,Registration,'',chart-topper,and,appeared,on,``,Saturday,Night,Live,'',to,sing,"","",along,with,Andy,Samberg,"","",a,gay,love,song,to,Iran,'s,belligerent,president,"","",Mahmoud,Ahmadinejad,"","",played,by,Fred,Armisen,.}",49,2,36,2,2,"{""INV_NGRAM_1_[,]"",""INV_LEMMA_L_2_R_1_[along with]_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[appos appos]""}","{-1.42472,1.31506,-1.22689,1.17156,-1.149,-1.05073}"
AFP_ENG_20080310.0390.LDC2009T13_43_8-AFP_ENG_20080310.0390.LDC2009T13_43_23,AFP_ENG_20080310.0390.LDC2009T13_43,Asif Ali Zardari-Nawaz Sharif,,1,"{Musharraf,huddled,with,legal,aides,a,day,after,Asif,Ali,Zardari,"","",widower,of,slain,ex-premier,Benazir,Bhutto,"","",and,former,prime,minister,Nawaz,Sharif,signed,a,coalition,pact,following,last,month,'s,general,elections,.}",8,3,23,2,2,"{NGRAM_1_[widower],""NGRAM_2_[widower of]"",STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_3_[, widower of]"",""NGRAM_1_[,]""}","{3.69817,2.31384,-2.15061,2.03006,1.5163,-1.35882}"
NYT_ENG_20070329.0201.LDC2009T13_841_28-NYT_ENG_20070329.0201.LDC2009T13_841_25,NYT_ENG_20070329.0201.LDC2009T13_841,John McColgan-Moya Doherty,t,0.999,"{``,The,Pirate,Queen,'',is,an,new,musical,about,the,real-life,story,of,Grace,O'Malley,"","",swashbuckling,seafarer,of,16th-century,Ireland,"","",produced,by,Moya,Doherty,and,John,McColgan,"","",the,producers,of,``,Riverdance,"","",'',and,combines,classic,storytelling,with,a,sweeping,score,and,joyous,dancing,.}",28,2,25,2,2,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",""INV_LEMMA_L_1_R_1_[by]_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]""}","{1.68884,-1.22689,1.17156,-1.1591,-1.149,1.0885}"
90019@31_60-90019@31_2,90019@31,Clinton-Bill Clinton,,1,"{``,When,Bill,Clinton,left,office,"","",we,had,a,great,abundance,in,the,bank,"","",and,now,we,do,n't,know,what,'s,going,on,"","",'',Ed,Burley,"","",70,"","",said,"","",adding,that,he,was,leaning,toward,voting,for,Sen.,Hillary,Rodham,Clinton,"","",D-N.Y.,"","",and,considered,her,candidacy,a,``,package,deal,'',with,Clinton,-LRB-,and,"","",hopefully,"","",his,cheerier,fiscal,days,-RRB-,.}",60,1,2,2,2,"{INV_NGRAM_1_[leave],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[with],INV_NGRAM_1_[she],""INV_NGRAM_2_[, say]"",""INV_NER_L_3_R_2_[O O O]_[O O]""}","{1.57148,-1.42472,1.42247,1.24168,-1.23404,-1.22689}"
APW_ENG_20081003.0048.LDC2009T13_11_2-APW_ENG_20081003.0048.LDC2009T13_11_0,APW_ENG_20081003.0048.LDC2009T13_11,Jeanne-Claude-Christo,t,0.994,"{Christo,and,Jeanne-Claude,conceived,the,idea,of,suspending,huge,swathes,of,fabric,over,a,river,back,in,1992,.}",2,1,0,1,1,"{INV_LEMMA_SEQ_[and],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and],INV_POS_SEQ_[CC],""INV_NER_L_2_R_1_[DATE O]_[O]""}","{1.68884,-1.149,0.995178,-0.963997,0.821642,0.669548}"
