relation_id,sentence_id,description,is_true,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
14949@17_33-14949@17_30,14949@17,Kat Taylor-Tom Steyer,t,"{The,event,is,hosted,by,longtime,supporter,Susie,Tompkins,Buell,and,her,husband,"","",Mark,Buell,"","",developer,Walter,Shorenstein,"","",the,group,EMILY,'s,List,and,major,Democratic,donors,Tom,Steyer,and,Kat,Taylor,.}",33,2,30,2,2,"{INV_LEMMA_SEQ_[and],""INV_NER_L_2_R_1_[MISC O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_3_R_1_[O MISC O]_[O]"",INV_NGRAM_1_[and],INV_POS_SEQ_[CC]}","{1.68884,-1.48888,-1.149,-1.14561,-0.963997,0.821642}"
eng-WL-11-174583-12935647_9_0-eng-WL-11-174583-12935647_9_8,eng-WL-11-174583-12935647_9,Brad Pitt-Angelina Jolie,t,"{Brad,Pitt,was,caught,red-handed,by,his,partner,Angelina,Jolie,for,massaging,the,back,of,their,young,nanny,in,their,twins,babies,'s,bedroom,according,to,US,magazine,.}",0,2,8,2,2,"{NGRAM_1_[partner],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[by],NGRAM_1_[he],""NER_SEQ_[O O O O O O]""}","{2.97617,-2.15061,2.03006,-1.04255,0.786486,0.728228}"
eng-WL-11-174594-12963222_157_40-eng-WL-11-174594-12963222_157_8,eng-WL-11-174594-12963222_157,David Beckham-Victoria Beckham,t,"{Read,More,:,Victoria,Beckham,is,Really,Pregnant,Victoria,Beckham,on,Elle,Magazine,Cover,Victoria,Beckham,Photo,Shoot,in,Paris,Spice,Tour,Photo,Spoilers,"","",Girls,Rehearsing,Baby,Spice,is,n't,so,confident,about,herself,Official,Spice,Girls,2008,Calendar,David,Beckham,and,Snake,in,New,Motorola,Phone,Ad,Victoria,Beckham,Blog,David,&,Victoria,Beckham,conquer,America,David,&,Victoria,Beckham,Welcome,to,LA,party}",40,2,8,2,2,"{""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[Paris]}","{-1.42472,-1.22689,1.17156,-1.149,0.995178,-0.982373}"
APW_ENG_20070905.0100.LDC2009T13_20_25-APW_ENG_20070905.0100.LDC2009T13_20_0,APW_ENG_20070905.0100.LDC2009T13_20,Anna Nicole Smith-Howard K. Stern,t,"{Howard,K.,Stern,and,Larry,Birkhead,plan,to,sue,the,author,of,a,new,book,that,claims,the,two,men,shared,a,sexual,encounter,before,Anna,Nicole,Smith,'s,death,and,worked,together,afterward,to,manipulate,the,media,and,maximize,profits,.}",25,3,0,3,3,"{INV_NGRAM_1_[claim],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[author],INV_LEMMA_L_1_R_1_[.]_['s]}","{1.35667,-1.22689,1.17156,-1.149,-1.05958,1.02679}"
eng-NG-31-146356-10387385_228_64-eng-NG-31-146356-10387385_228_56,eng-NG-31-146356-10387385_228,Paul McCartney-Heather Mills,t,"{Paris,Hilton,reveals,an,icky,bunion,on,her,terrifying,size,11s,<,""http:\\/\\/www.onlines.ws\\/?p=250"",>,Now,Danielle,Lloyd,is,caught,up,in,nightclub,`,catfight,',over,ex,Jermain,Defoe,<,""http:\\/\\/www.onlines.ws\\/?p=240"",>,Sarkozy,'s,ex-wife,marries,in,NY,to,Moroccan-born,beau,<,""http:\\/\\/www.onlines.ws\\/?p=232"",>,Britney,Spears,reveals,her,unsightly,`,elephant,legs,',<,""http:\\/\\/www.onlines.ws\\/?p=214"",>,Heather,Mills,torn,to,shreds,by,judge,over,Paul,McCartney,divorce,<,""http:\\/\\/www.onlines.ws\\/?p=208"",>,Lonely,wives,club,:,Madonna,and,Gwyneth,out,together,...,without,either,of,their,husbands,<,""http:\\/\\/www.onlines.ws\\/?p=200"",>,What,made,Kylie,dance,on,the,table,?}",64,2,56,2,2,"{INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]"",""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[by],""INV_NER_L_1_R_3_[O]_[O O NUMBER]"",""INV_NER_SEQ_[O O O O TITLE O]""}","{-1.149,1.0885,0.995178,-0.962593,0.767996,0.743577}"
119865@19_46-119865@19_52,119865@19,Tom Cruise-Nicole Kidman,t,"{In,his,next,19,films,--,every,one,a,romance,or,drama,but,for,the,single,comedy,"","",``,Tootsie,'',--,Pollack,worked,with,Burt,Lancaster,"","",Natalie,Wood,"","",Jane,Fonda,"","",Robert,Mitchum,"","",Al,Pacino,"","",Dustin,Hoffman,"","",Meryl,Streep,"","",Tom,Cruise,"","",Harrison,Ford,"","",Nicole,Kidman,"","",Streisand,and,others,.}",46,2,52,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",NGRAM_1_[Harrison],""WORD_SEQ_[, Harrison Ford ,]"",""LEMMA_SEQ_[, Harrison Ford ,]""}","{-2.15061,2.03006,-1.35882,1.27198,0.49262,0.49262}"
NYT_ENG_20071219.0126.LDC2009T13_7_3-NYT_ENG_20071219.0126.LDC2009T13_7_6,NYT_ENG_20071219.0126.LDC2009T13_7,Alysia Reiner-David Alan Basche,t,"{When,the,actors,Alysia,Reiner,and,David,Alan,Basche,embarked,on,a,renovation,of,their,four-story,"","",""5,000-square-foot"",row,house,in,Harlem,two,years,ago,"","",they,did,not,intend,for,it,to,become,a,show,house,.}",3,2,6,3,3,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],""NER_L_3_R_1_[O O O]_[O]"",NER_SEQ_[O]}","{-2.15061,2.03006,1.56175,0.724491,0.488205,0.474}"
eng-WL-11-174597-12965208_8_1-eng-WL-11-174597-12965208_8_7,eng-WL-11-174597-12965208_8,Niki Taylor-Burney Lamar,t,"{Supermodel,Niki,Taylor,has,married,NASCAR,driver,Burney,Lamar,after,their,four,month,engagement,"","",PEOPLE,has,confirmed,.}",1,2,7,2,2,"{NGRAM_1_[marry],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],KW_L_[nsubj]_[dobj],""BETW_D_[nsubj DICT_married dobj]"",KW_[nsubj]_[dobj]}","{3.68226,-2.15061,1.86495,1.16973,1.16973,1.16973}"
LTW_ENG_20070726.0004.LDC2009T13_679_15-LTW_ENG_20070726.0004.LDC2009T13_679_17,LTW_ENG_20070726.0004.LDC2009T13_679,Abraham-Sarah,t,"{Want,to,know,what,happened,to,Hagar,after,she,fades,from,the,Bible,story,of,Abraham,and,Sarah,?}",15,1,17,1,1,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],""NER_L_3_R_1_[MISC O O]_[O]"",POS_SEQ_[CC],NER_SEQ_[O]}","{-2.15061,2.03006,1.56175,1.13826,0.724491,0.474}"
eng-WL-11-174595-12967357_24_3-eng-WL-11-174595-12967357_24_0,eng-WL-11-174595-12967357_24,Kevin Federline-Britney Spears,t,"{Britney,Spears,and,Kevin,Federline,attended,the,graduation,of,K-Fed,'s,brother,Cameron,Lee,Federline,...,from,actual,high,school,.}",3,2,0,2,2,"{INV_KW_IND_[non_married],INV_LEMMA_SEQ_[and],INV_LEMMA_L_1_R_1_[.]_[attend],""INV_LEMMA_L_1_R_2_[.]_[attend the]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]""}","{-2.56873,1.68884,1.63418,1.47415,-1.22689,1.17156}"
eng-NG-31-104379-11707575_384_8-eng-NG-31-104379-11707575_384_5,eng-NG-31-104379-11707575_384,Bruce Robison-Kelly Willis,t,"{Other,participants,include,award-winning,musicians,Kelly,Willis,and,Bruce,Robison,"","",the,president,of,the,University,of,Texas,'s,student,government,"","",the,City,of,Austin,'s,Solid,Waste,Services,department,"","",and,the,Capital,Area,Council,of,Governments,.}",8,2,5,2,2,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and]}","{1.68884,-1.22689,1.17156,-1.149,0.995178,-0.963997}"
eng-WL-11-174592-12942173_78_1-eng-WL-11-174592-12942173_78_4,eng-WL-11-174592-12942173_78,Eva Longoria-Tony Parker,t,"{Newlyweds,Eva,Longoria,and,Tony,Parker,celebrated,their,officials,nuptials,last,night,at,an,after-wedding,reception,dinner,.}",1,2,4,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],""NER_L_3_R_1_[O O O]_[O]"",NER_SEQ_[O]}","{-2.15061,2.03006,1.56175,0.724491,0.488205,0.474}"
eng-WL-11-174572-12949172_19_0-eng-WL-11-174572-12949172_19_3,eng-WL-11-174572-12949172_19,Heidi Montag-Spencer Pratt,t,"{Heidi,Montag,and,Spencer,Pratt,were,hard,at,work,yesterday,-LRB-,September,10,-RRB-,on,the,set,of,The,Hills,in,Santa,Monica,"","",CA,.}",0,2,3,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_L_1_R_1_[.]_[be],LEMMA_SEQ_[and],""NER_L_3_R_1_[O STATE_OR_PROVINCE O]_[O]"",POS_SEQ_[CC]}","{-2.15061,2.03006,1.57393,1.56175,0.755381,0.724491}"
eng-NG-31-143202-10159272_80_6-eng-NG-31-143202-10159272_80_41,eng-NG-31-143202-10159272_80,Donny Osmond-Debbie Osmond,t,"{-LRB-,AP,""Photo\\/Chris"",Pizzello,-RRB-,-RSB-,Donny,Osmond,and,his,wife,Debbie,Osmond,arrive,at,the,80th,Academy,Awards,at,the,Kodak,Theatre,in,Los,Angeles,"","",Sunday,"","",Feb.,24,"","",2008,-LSB-,image,:,Donny,Osmond,and,his,wife,Debbie,Osmond,arrive,at,the,80th,Academy,Awards,at,the,Kodak,Theatre,in,Los,Angeles,"","",Sunday,"","",Feb.,24,"","",2008,.}",6,2,41,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_3_[and he wife]"",""NGRAM_1_[,]"",NGRAM_1_[:]}","{5.01088,-2.15061,2.03006,-1.68488,-1.35882,-1.06111}"
eng-WL-11-174595-12971643_11_15-eng-WL-11-174595-12971643_11_21,eng-WL-11-174595-12971643_11,Jodie Foster-Cydney Bernard,t,"{The,Daily,Mail,"","",reporting,on,information,from,the,National,Enquirer,"","",is,claiming,that,Jodie,Foster,and,her,longtime,partner,Cydney,Bernard,have,ended,their,relationship,after,being,together,for,14,years,.}",15,2,21,2,2,"{NGRAM_1_[partner],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_L_1_R_1_[that]_[have],NGRAM_1_[she],""POS_SEQ_[CC PRP$ JJ NN]""}","{2.97617,-2.15061,2.03006,1.60179,1.35843,1.14502}"
132401@15_15-132401@15_22,132401@15,Michelle Obama-Barack Obama,t,"{Guided,by,voice-overs,from,her,mother,"","",the,film,gives,a,flattering,guided,tour,of,Michelle,Obama,'s,childhood,"","",romance,with,Barack,Obama,and,motherhood,.}",15,2,22,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NGRAM_2_[romance with]"",NGRAM_1_[with]}","{-2.20027,-2.15061,2.03006,-1.35882,0.989983,0.916859}"
eng-WL-11-174579-12936634_12_10-eng-WL-11-174579-12936634_12_0,eng-WL-11-174579-12936634_12,Brad Pitt-Jennifer Aniston,t,"{Jennifer,Aniston,admit,that,she,still,loves,her,former,husband,Brad,Pitt,and,hope,that,both,of,them,can,be,``,good,friends,again,'',in,the,future,.}",10,2,0,2,2,"{INV_NGRAM_1_[husband],INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_SEQ_[O O O O O O O O]"",""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[love]}","{6.02373,1.24168,-1.149,0.997779,0.995178,0.818693}"
eng-WL-107-174567-12931886_32_9-eng-WL-107-174567-12931886_32_15,eng-WL-107-174567-12931886_32,Rihanna-Chris Brown,t,"{And,now,that,horrific,details,of,the,beating,that,Rihanna,received,at,the,hands,of,Chris,Brown,have,been,released,"","",one,can,not,help,but,keep,glued,to,this,story,as,it,unfolds,.}",9,1,15,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_L_1_R_1_[that]_[have],""NER_SEQ_[O O O O O]"",NGRAM_1_[of],NGRAM_1_[at]}","{-2.15061,2.03006,1.60179,0.853185,-0.766651,-0.621043}"
AFP_ENG_20080920.0235.LDC2009T13_101_1-AFP_ENG_20080920.0235.LDC2009T13_101_4,AFP_ENG_20080920.0235.LDC2009T13_101,Jay Jopling-Sam Taylor-Wood,t,"{``,Jay,Jopling,and,Sam,Taylor-Wood,are,saddened,to,announce,that,"","",after,11,years,of,marriage,"","",they,have,agreed,amicably,to,separate,"","",'',said,White,Cube,gallery,spokeswoman,Sara,Macdonald,.}",1,2,4,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],""BETW_L_[nsubjpass nsubjpass]"",""NER_L_3_R_3_[PERSON O O]_[O O O]"",""NER_L_3_R_2_[PERSON O O]_[O O]""}","{-2.15061,2.03006,1.56175,1.16581,-1.10697,1.04666}"
eng-WL-107-174567-12932214_15_19-eng-WL-107-174567-12932214_15_0,eng-WL-107-174567-12932214_15,Gavin Rossdale-Gwen Stefani,t,"{Gwen,Stefani,is,seen,here,enjoying,her,last,few,days,of,pregnancy,in,the,British,summertime,with,her,hubby,Gavin,Rossdale,and,little,boy,Kingston,.}",19,2,0,2,2,"{INV_NGRAM_1_[hubby],INV_NGRAM_1_[with],""INV_NGRAM_2_[she hubby]"",INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{4.09387,1.42247,1.30095,1.24168,-1.149,0.995178}"
APW_ENG_20080827.0975.LDC2009T13_54_11-APW_ENG_20080827.0975.LDC2009T13_54_28,APW_ENG_20080827.0975.LDC2009T13_54,Bill Clinton-Hillary Rodham Clinton,t,"{Democratic,delegates,were,to,cast,ballots,just,hours,before,former,President,Bill,Clinton,'s,speech,to,the,convention,"","",calling,on,Americans,to,support,the,man,who,ended,Hillary,Rodham,Clinton,'s,run,for,the,White,House,.}",11,2,28,3,3,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],""NGRAM_1_[,]"",NGRAM_1_[man],""NER_L_2_R_1_[O TITLE]_[O]"",LEMMA_L_1_R_1_[President]_['s]}","{-2.15061,1.86495,-1.35882,1.16474,1.0539,-0.948105}"
AFP_ENG_20080130.0376.LDC2009T13_297_12-AFP_ENG_20080130.0376.LDC2009T13_297_7,AFP_ENG_20080130.0376.LDC2009T13_297,Carla Bruni-Nicolas Sarkozy,t,"{On,Wednesday,"","",lawyers,for,French,President,Nicolas,Sarkozy,and,his,girlfriend,Carla,Bruni,said,they,were,taking,the,airline,to,court,for,breaching,their,privacy,after,using,a,photo,of,the,couple,in,an,ad,.}",12,2,7,2,2,"{""INV_BETW_L_[prep_for prep_for]"",INV_NGRAM_1_[girlfriend],""INV_NER_L_3_R_1_[O NATIONALITY TITLE]_[O]"",INV_LEMMA_L_1_R_1_[President]_[say],INV_STARTS_WITH_CAPITAL_[True_True],INV_NER_L_1_R_1_[TITLE]_[O]}","{3.4338,2.98961,1.16288,1.15075,-1.149,1.05752}"
APW_ENG_20071220.0055.LDC2009T13_451_11-APW_ENG_20071220.0055.LDC2009T13_451_14,APW_ENG_20071220.0055.LDC2009T13_451,Angelina Jolie-Brad Pitt,t,"{It,'s,not,just,the,``,Brangelina,factor,'',--,although,Angelina,Jolie,and,Brad,Pitt,'s,decision,to,have,their,daughter,Shiloh,in,the,seaside,resort,of,Swakopmund,certainly,helped,catapult,the,little-known,corner,of,Africa,onto,the,international,map,.}",11,2,14,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],""NER_L_3_R_1_[O O O]_[O]""}","{-2.20027,-2.15061,2.03006,1.56175,0.724491,0.488205}"
APW_ENG_20081015.0808.LDC2009T13_10_12-APW_ENG_20081015.0808.LDC2009T13_10_0,APW_ENG_20081015.0808.LDC2009T13_10,Guy Ritchie-Madonna,t,"{Madonna,'s,spokeswoman,said,Wednesday,that,the,singer,and,her,husband,"","",Guy,Ritchie,"","",will,divorce,after,""7 1\\/2"",years,together,.}",12,2,0,1,1,"{INV_NGRAM_1_[husband],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[singer],""INV_NER_L_1_R_2_[O]_[O O]""}","{6.02373,-1.42472,1.24168,-1.149,1.14262,0.995178}"
eng-WL-107-174567-12933021_121_23-eng-WL-107-174567-12933021_121_20,eng-WL-107-174567-12933021_121,Angelina Jolie-Brad Pitt,t,"{Apparently,Rajasthan,"","",India,"","",is,becoming,a,holiday,hotspot,for,celebs,"","",as,Mick,Jagger,"","",L’Wren,Scott,"","",Brad,Pitt,and,Angelina,Jolie,to,name,but,a,few,have,visited,it,lately,.}",23,2,20,2,2,"{""INV_LEMMA_L_1_R_1_[,]_[to]"",INV_LEMMA_SEQ_[and],""INV_LEMMA_L_1_R_2_[,]_[to name]"",""INV_BETW_L_[conj_and conj_and]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{1.95536,1.68884,1.39365,-1.25409,-1.149,0.995178}"
APW_ENG_20080815.0142.LDC2009T13_85_12-APW_ENG_20080815.0142.LDC2009T13_85_8,APW_ENG_20080815.0142.LDC2009T13_85,Aishwarya Rai Bachchan-Abhishek Bachchan,t,"{Superstar,Indian,actors,Amitabh,Bachchan,"","",his,son,Abhishek,Bachchan,and,daughter-in-law,Aishwarya,Rai,Bachchan,"","",along,with,other,Indian,movie,stars,including,Preity,Zinta,"","",Madhuri,Dixit,and,Riteish,Deshmukh,have,spent,the,past,few,weeks,touring,the,United,States,on,``,The,Unforgettable,Tour,.,''}",12,3,8,2,2,"{INV_KW_IND_[non_married],""INV_POS_SEQ_[CC NNP]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{-2.56873,1.29113,-1.22689,1.17156,-1.149,0.995178}"
eng-WL-11-174595-12966267_615_1-eng-WL-11-174595-12966267_615_10,eng-WL-11-174595-12966267_615,Britney Spears-Kevin Federline,t,"{With,Britney,Spears,',wedding,to,backup,""dancer\\/Red"",Bull,aficionado,Kevin,Federline,now,confirmed,"","",many,fans,-LRB-,and,foes,-RRB-,are,wondering,what,will,come,next,in,the,former,Mouseketeer,'s,career,.}",1,2,10,2,2,"{STARTS_WITH_CAPITAL_[True_True],""NGRAM_2_[wedding to]"",NGRAM_1_[wedding],""NER_L_2_R_1_[O O]_[DATE]"",NGRAM_1_['],NER_L_1_R_1_[O]_[DATE]}","{-2.15061,1.54578,1.39064,1.06127,0.982353,0.766137}"
LTW_ENG_20081224.0072.LDC2009T13_351_16-LTW_ENG_20081224.0072.LDC2009T13_351_25,LTW_ENG_20081224.0072.LDC2009T13_351,Ed Harris-Amy Madigan,t,"{The,host,committee,includes,Oscar-winning,actor,Louis,Gossett,Jr.,"","",Patricia,Arquette,"","",Amy,Brenneman,"","",Ed,Harris,"","",Ashley,Judd,"","",Josh,Lucas,"","",Amy,Madigan,"","",Brad,Silberling,and,Kate,Walsh,.}",16,2,25,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NER_L_1_R_2_[O]_[O PERSON]"",""LEMMA_SEQ_[, Ashley Judd , Josh Lucas ,]"",""WORD_SEQ_[, Ashley Judd , Josh Lucas ,]""}","{-2.15061,2.03006,-1.35882,-1.16971,1.04025,1.04025}"
AFP_ENG_20071226.0142.LDC2009T13_10_10-AFP_ENG_20071226.0142.LDC2009T13_10_2,AFP_ENG_20071226.0142.LDC2009T13_10,Carla Bruni-Nicolas Sarkozy,t,"{French,President,Nicolas,Sarkozy,"","",in,Egypt,with,new,girlfriend,Carla,Bruni,"","",came,under,attack,back,home,Wednesday,for,flying,on,his,Christmas,holiday,aboard,the,private,jet,of,a,billionaire,businessman,.}",10,2,2,2,2,"{INV_NGRAM_1_[girlfriend],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[with],""INV_NGRAM_2_[new girlfriend]"",""INV_NER_L_3_R_1_[O NATIONALITY TITLE]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{2.98961,-1.42472,1.42247,-1.26295,1.16288,-1.149}"
LTW_ENG_20080215.0009.LDC2009T13_537_13-LTW_ENG_20080215.0009.LDC2009T13_537_22,LTW_ENG_20080215.0009.LDC2009T13_537,Jennifer Jason Leigh-Noah Baumbach,t,"{--,``,Margot,at,the,Wedding,'',-LRB-,R,-RRB-,Nicole,Kidman,"","",Jennifer,Jason,Leigh,and,Jack,Black,star,in,director,Noah,Baumbach,'s,family,-,dynamics-focused,film,.}",13,3,22,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""LEMMA_L_1_R_1_[,]_['s]"",""NER_L_3_R_2_[PERSON PERSON O]_[O O]"",""NER_L_2_R_1_[PERSON O]_[O]"",NGRAM_1_[Black]}","{-2.15061,2.03006,-1.10132,-0.979175,-0.905711,0.762887}"
NYT_ENG_20070319.0173.LDC2009T13_155_7-NYT_ENG_20070319.0173.LDC2009T13_155_4,NYT_ENG_20070319.0173.LDC2009T13_155,Dean McDermott-Tori Spelling,t,"{So,"","",hello,"","",Tori,Spelling,and,Dean,McDermott,!}",7,2,4,2,2,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],""INV_LEMMA_L_1_R_1_[,]_[!]""}","{1.68884,1.17156,-1.149,-0.963997,0.821642,0.816536}"
APW_ENG_20080318.0749.LDC2009T13_16_0-APW_ENG_20080318.0749.LDC2009T13_16_9,APW_ENG_20080318.0749.LDC2009T13_16,Heather Mills-Paul McCartney,t,"{Heather,Mills,walked,away,from,her,four-year,marriage,to,Paul,McCartney,with,a,24.3,million,pound,-LRB-,US$,48.6,million,;,euro31,million,-RRB-,divorce,settlement,--,an,enormous,sum,"","",but,a,fifth,of,what,she,had,sought,and,a,fraction,of,the,former,Beatle,'s,400,million,pound,-LRB-,US$,800,million,;,euro520,million,-RRB-,fortune,.}",0,2,9,2,2,"{NGRAM_1_[marriage],""NGRAM_2_[marriage to]"",STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[she],LEMMA_L_1_R_1_[.]_[with]}","{2.28325,2.15837,-2.15061,2.03006,1.35843,0.979387}"
eng-WL-11-174595-12967414_394_0-eng-WL-11-174595-12967414_394_3,eng-WL-11-174595-12967414_394,Ben Affleck-Jennifer Garner,t,"{Ben,Affleck,and,Jennifer,Garner,spent,some,time,each,-LRB-,and,individually,-RRB-,with,Ben,'s,mom,:}",0,2,3,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],""NER_L_3_R_1_[O O O]_[O]"",NER_SEQ_[O]}","{-2.15061,2.03006,1.56175,0.724491,0.488205,0.474}"
XIN_ENG_20080826.0140.LDC2009T13_12_40-XIN_ENG_20080826.0140.LDC2009T13_12_23,XIN_ENG_20080826.0140.LDC2009T13_12,Levy Mwanawasa-Maureen Mwanawasa,t,"{Zambia,'s,opposition,leader,ordered,to,leave,late,President,'s,funeral,proceedings,LUSAKA,"","",Aug.,26,-LRB-,Xinhua,-RRB-,--,Zambian,First,Lady,Maureen,Mwanawasa,has,ordered,opposition,Patriotic,Front,-LRB-,PF,-RRB-,leader,Michael,Sata,to,leave,late,President,Levy,Mwanawasa,'s,funeral,proceedings,at,Chipata,Airport,in,Eastern,province,"","",accusing,him,of,politicising,the,mourning,"","",Times,of,Zambia,reported,Tuesday,.}",40,2,23,2,2,"{INV_NGRAM_1_[leave],INV_NGRAM_1_[Michael],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",""INV_NER_L_2_R_2_[ORDINAL O]_[O O]"",""INV_LEMMA_L_2_R_1_[First Lady]_['s]""}","{1.57148,-1.20088,-1.149,0.995178,0.686437,0.595683}"
AFP_ENG_20070315.0177.LDC2009T13_13_0-AFP_ENG_20070315.0177.LDC2009T13_13_5,AFP_ENG_20070315.0177.LDC2009T13_13,Paul McCartney-Heather Mills,t,"{Paul,McCartney,'s,estranged,wife,Heather,Mills,said,on,Thursday,that,securing,a,divorce,deal,from,the,former,Beatles,legend,was,like,``,getting,blood,out,of,a,stone,'',.}",0,2,5,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NER_SEQ_[O O O]"",""BETW_L_[poss rcmod nsubj]"",LEMMA_L_1_R_1_[.]_[say]}","{5.01088,-2.15061,2.03006,0.994391,0.861966,0.824965}"
NYT_ENG_20070102.0143.LDC2009T13_42_6-NYT_ENG_20070102.0143.LDC2009T13_42_16,NYT_ENG_20070102.0143.LDC2009T13_42,John Lennon-Yoko Ono,t,"{Her,best-known,pictures,-,a,naked,John,Lennon,curled,up,"","",fetuslike,"","",against,a,clothed,Yoko,Ono,;,a,naked,"","",and,very,pregnant,"","",Demi,Moore,-,are,among,the,best-known,of,the,past,40,years,-LRB-,which,is,roughly,how,long,she,'s,been,photographing,-RRB-,.}",6,2,16,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""BETW_L_[dep dep]"",""NGRAM_2_[up ,]"",NGRAM_1_[up]}","{-2.15061,2.03006,-1.35882,0.727786,0.568161,-0.558058}"
eng-WL-11-174595-12968135_1110_9-eng-WL-11-174595-12968135_1110_29,eng-WL-11-174595-12968135_1110,Anna Nicole Smith-Howard K. Stern,t,"{Additionally,"","",more,scandalous,information,is,coming,out,about,Anna,Nicole,Smith,'s,petition,to,become,a,Bahaman,citizen,-LRB-,in,her,genius,attempt,to,be,able,to,name,Howard,K.,Stern,as,the,father,of,her,baby,on,the,birth,certificate,and,deny,anyone,else,seeking,a,paternity,test,-RRB-,and,how,she,may,have,gotten,that,petition,approved,:}",9,3,29,3,3,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[she],NGRAM_1_[name],""NGRAM_2_[-lrb- in]""}","{-2.20027,-2.15061,2.03006,1.35843,-1.19429,1.15011}"
