relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length
LTW_ENG_20081016.0036.LDC2009T13_540_4-LTW_ENG_20081016.0036.LDC2009T13_540_1,LTW_ENG_20081016.0036.LDC2009T13_540,James Marsden-Josh Zuckerman,,0.04,"{With,Josh,Zuckerman,"","",James,Marsden,and,Seth,Green,.}",4,2,1,2
AFP_ENG_20071120.0623.LDC2009T13_280_7-AFP_ENG_20071120.0623.LDC2009T13_280_10,AFP_ENG_20071120.0623.LDC2009T13_280,Martin Sheen-Pierce Brosnan,f,0.022,"{Sea,Shepherd,"","",which,claims,Hollywood,stars,Martin,Sheen,"","",Pierce,Brosnan,and,Sean,Penn,among,its,sponsors,"","",says,it,is,enforcing,international,law,using,clauses,which,allow,individuals,and,private,organizations,to,take,action,.}",7,2,10,2
NYT_ENG_20070518.0095.LDC2009T13_80_32-NYT_ENG_20070518.0095.LDC2009T13_80_1,NYT_ENG_20070518.0095.LDC2009T13_80,Carmichael-Adam Levine,,0.006,"{Frontman,Adam,Levine,and,keyboardist,Jesse,Carmichael,recently,participated,in,a,teleconference,to,discuss,the,new,record,;,as,the,moderator,introduced,me,"","",the,pair,were,struck,by,my,name,"","",Carmichael,declaring,he,'d,name,his,first-born,Preston,Jones,"","",Levine,quipping,that,he,'s,going,to,use,it,as,his,``,hotel,name,.,''}",32,1,1,2
eng-WL-11-174592-12943528_48_11-eng-WL-11-174592-12943528_48_21,eng-WL-11-174592-12943528_48,Danny Masterson-Kelso,,0.022,"{Jackie,-LRB-,Mila,Kunis,-RRB-,is,making,out,with,Hyde,-LRB-,Danny,Masterson,-RRB-,"","",although,she,still,has,hots,for,Kelso,-LRB-,Ashton,Kutcher,-RRB-,.}",11,2,21,1
APW_ENG_20070516.0101.LDC2009T13_607_14-APW_ENG_20070516.0101.LDC2009T13_607_32,APW_ENG_20070516.0101.LDC2009T13_607,Breck Eisner-Cussler,,0,"{Among,those,who,gave,their,accounts,in,court,were,the,film,'s,director,"","",Breck,Eisner,"","",son,of,former,Disney,CEO,Michael,Eisner,;,producers,Howard,and,Karen,Baldwin,;,and,Cussler,'s,literary,agent,"","",Peter,Lampack,.}",14,2,32,1
APW_ENG_20070705.1332.LDC2009T13_242_38-APW_ENG_20070705.1332.LDC2009T13_242_26,APW_ENG_20070705.1332.LDC2009T13_242,Wilson-Libby,,0.002,"{State,Rep.,Alisha,Thomas,Morgan,said,that,like,the,prison,sentence,for,Vice,President,Dick,Cheney,'s,former,chief,of,staff,I.,Lewis,``,Scooter,'',Libby,"","",which,was,commuted,Monday,by,President,George,W.,Bush,"","",Wilson,'s,punishment,was,also,excessive,and,should,be,reduced,.}",38,1,26,1
AFP_ENG_20070827.0044.LDC2009T13_9_0-AFP_ENG_20070827.0044.LDC2009T13_9_24,AFP_ENG_20070827.0044.LDC2009T13_9,Paula Creamer-Betsy King,,0.008,"{Paula,Creamer,"","",Juli,Inkster,and,Morgan,Pressel,head,the,US,team,for,the,Solheim,Cup,against,Europe,"","",which,was,announced,by,captain,Betsy,King,Sunday,at,the,end,of,the,LPGA,Safeway,Classic,.}",0,2,24,2
AFP_ENG_20081102.0149.LDC2009T13_517_35-AFP_ENG_20081102.0149.LDC2009T13_517_9,AFP_ENG_20081102.0149.LDC2009T13_517,Andy Murray-Sebastien Grosjean,,0.024,"{Tsonga,is,the,first,Frenchman,to,win,here,since,Sebastien,Grosjean,in,2001,and,in,Shanghai,from,November,9-16,he,will,join,defending,champion,Roger,Federer,"","",world,No.,1,Rafael,Nadal,"","",Djokovic,"","",Andy,Murray,"","",Nikolay,Davydenko,"","",Andy,Roddick,and,Juan,Martin,del,Potro,.}",35,2,9,2
NYT_ENG_20070219.0242.LDC2009T13_287_7-NYT_ENG_20070219.0242.LDC2009T13_287_12,NYT_ENG_20070219.0242.LDC2009T13_287,Libby-Wilson,,0.052,"{By,the,time,Wilson,came,forward,"","",Libby,and,Cheney,knew,that,Wilson,was,dispatched,to,Africa,by,the,CIA,unit,where,his,wife,"","",Valerie,"","",worked,.}",7,1,12,1
APW_ENG_20070111.0932.LDC2009T13_123_6-APW_ENG_20070111.0932.LDC2009T13_123_2,APW_ENG_20070111.0932.LDC2009T13_123,Andre Nel-Makhaya Ntini,,0.006,"{Bowling,:,Makhaya,Ntini,13-2-39-2,"","",Andre,Nel,14-3-43-0,"","",Shaun,Pollock,12-4-25-0,"","",Jacques,Kallis,9-2-35-0,-LRB-,1w,"","",3nb,-RRB-,"","",Paul,Harris,8-0-15-0,.}",6,2,2,2
LTW_ENG_20070714.0119.LDC2009T13_422_13-LTW_ENG_20070714.0119.LDC2009T13_422_0,LTW_ENG_20070714.0119.LDC2009T13_422,Rod Steiger-Fain,,0.076,"{Fain,also,represented,actor,Lee,Majors,in,his,divorce,from,Farrah,Fawcett,"","",Rod,Steiger,in,his,divorce,from,Sherry,Steiger,"","",and,Marguerite,Simpson,"","",the,first,wife,of,O.J.,Simpson,.}",13,2,0,1
eng-WL-11-174585-12940326_17_9-eng-WL-11-174585-12940326_17_5,eng-WL-11-174585-12940326_17,Joseph-Jesus,,0.002,"{I,love,her,"","",but,Jesus,"","",Mary,and,Joseph,that,bitch,is,a,terrible,TV,host,.}",9,1,5,1
LTW_ENG_20071107.0011.LDC2009T13_60_26-LTW_ENG_20071107.0011.LDC2009T13_60_43,LTW_ENG_20071107.0011.LDC2009T13_60,Robin Williams-Joe Torre,f,0.01,"{Among,those,appearing,:,Robert,De,Niro,"","",Danny,DeVito,"","",Whoopi,Goldberg,"","",Jon,Lovitz,"","",Rob,Reiner,"","",Martin,Short,"","",Barbara,Walters,"","",Robin,Williams,and,--,with,a,nod,to,Crystal,'s,love,for,the,New,York,Yankees,--,Joe,Torre,"","",the,team,'s,former,manager,.}",26,2,43,2
APW_ENG_20081119.0190.LDC2009T13_1107_0-APW_ENG_20081119.0190.LDC2009T13_1107_17,APW_ENG_20081119.0190.LDC2009T13_1107,Stevens-John McCain,,0.018,"{Stevens,refused,pleas,from,his,own,party,leaders,to,step,down,after,the,verdict,"","",including,Sen.,John,McCain,"","",the,Republican,presidential,nominee,who,said,the,Alaska,senator,had,``,broken,his,trust,with,the,people,.,''}",0,1,17,2
APW_ENG_20070116.0717.LDC2009T13_693_4-APW_ENG_20070116.0717.LDC2009T13_693_39,APW_ENG_20070116.0717.LDC2009T13_693,Kyra Sedgwick-Grey,,0,"{In,other,awards,"","",Kyra,Sedgwick,of,TNT,'s,``,The,Closer,'',was,named,best,actress,in,a,drama,"","",despite,being,up,against,two,of,ABC,'s,most-featured,players,in,top-10,shows,--,Ellen,Pompeo,of,``,Grey,'s,Anatomy,'',and,Evangeline,Lilly,of,``,Lost,.,''}",4,2,39,1
NYT_ENG_20070825.0061.LDC2009T13_280_24-NYT_ENG_20070825.0061.LDC2009T13_280_10,NYT_ENG_20070825.0061.LDC2009T13_280,Fred D. Thompson-Christopher J. Dodd,,0.036,"{No,fewer,than,five,presidential,contenders,--,Edwards,"","",Sens.,Christopher,J.,Dodd,"","",Sam,Brownback,"","",and,Barack,Obama,"","",and,the,almost-candidate,Fred,D.,Thompson,--,have,children,under,10,"","",a,circumstance,historians,say,has,no,recent,precedent,.}",24,3,10,3
AFP_ENG_20070614.0746.LDC2009T13_278_45-AFP_ENG_20070614.0746.LDC2009T13_278_23,AFP_ENG_20070614.0746.LDC2009T13_278,Moamer Kadhafi-Jiang Zemin,,0.004,"{The,list,of,heads,of,state,and,government,she,has,spoken,one-on,-,one,with,include,Russia,'s,Boris,Yeltsin,"","",China,'s,Jiang,Zemin,"","",Britain,'s,Margaret,Thatcher,"","",India,'s,Indira,Gandhi,"","",the,Czech,Republic,'s,Vaclav,Havel,"","",Libya,'s,Moamer,Kadhafi,and,Mohammad,Reza,Pahlavi,"","",the,former,shah,of,Iran,.}",45,2,23,2
AFP_ENG_20080716.0733.LDC2009T13_595_0-AFP_ENG_20080716.0733.LDC2009T13_595_32,AFP_ENG_20080716.0733.LDC2009T13_595,Fred Dickson-Nixon,,0.004,"{Fred,Dickson,"","",market,strategist,at,DA,Davidson,&,Co.,"","",cited,the,``,most,hostile,market,sentiment,we,have,witnessed,since,the,dark,days,of,1974,when,president,-LRB-,Richard,-RRB-,Nixon,resigned,in,disgrace,.,''}",0,2,32,1
eng-NG-31-141957-9979070_611_29-eng-NG-31-141957-9979070_611_48,eng-NG-31-141957-9979070_611,Derek Luke-Malley,,0,"{--,Lions,for,Lambs,:,-LRB-,2,STARS,-RRB-,Directed,by,Robert,Redford,"","",the,story,begins,after,two,determined,students,at,a,West,Coast,University,"","",Arian,-LRB-,Derek,Luke,-RRB-,and,Ernest,-LRB-,Michael,Pena,-RRB-,"","",follow,the,inspiration,of,their,idealistic,professor,"","",Dr.,Malley,-LRB-,Redford,-RRB-,"","",and,attempt,to,do,something,important,with,their,lives,.}",29,2,48,1
APW_ENG_20070706.0815.LDC2009T13_572_37-APW_ENG_20070706.0815.LDC2009T13_572_32,APW_ENG_20070706.0815.LDC2009T13_572,Randy Lerner-Tom Hicks,,0.016,"{Other,foreign,owners,in,the,Premier,league,are,Russia,'s,Roman,Abramovich,of,Chelsea,and,Alexandre,Gaydamak,of,Portsmouth,;,American,businessmen,Malcolm,Glazer,of,Manchester,United,"","",George,Gillett,Jr.,and,Tom,Hicks,of,Liverpool,and,Randy,Lerner,of,Aston,Villa,;,Iceland,'s,Eggert,Magnusson,of,West,Ham,;,and,Egypt,'s,Mohamed,al,Fayed,of,Fulham,.}",37,2,32,2
eng-WL-11-174585-12940732_542_20-eng-WL-11-174585-12940732_542_4,eng-WL-11-174585-12940732_542,Daddy-Scarlett Johansson,,0.008,"{Watch,as,actors,like,Scarlett,Johansson,"","",Hilary,Swank,"","",Josh,Hartnett,and,Aaron,Eckhart,play,around,in,Mummy,and,Daddy,'s,clothes,-LRB-,even,Eckhart,"","",approaching,40,seems,out,of,place,-RRB-,.}",20,1,4,2
APW_ENG_20071114.0470.LDC2009T13_123_39-APW_ENG_20071114.0470.LDC2009T13_123_10,APW_ENG_20071114.0470.LDC2009T13_123,Piccolo-Tom Cruise,,0.008,"{Fox,said,Justin,Chatwin,"","",who,played,the,son,of,Tom,Cruise,'s,character,in,``,War,of,the,Worlds,"","",'',will,portray,the,lead,character,Goku,and,James,Marsters,is,cast,as,Goku,'s,main,enemy,"","",Piccolo,.}",39,1,10,2
NYT_ENG_20070711.0223.LDC2009T13_2454_45-NYT_ENG_20070711.0223.LDC2009T13_2454_23,NYT_ENG_20070711.0223.LDC2009T13_2454,Papelbon-Beckett,,0,"{There,was,and,is,risk,involved,"","",but,we,were,also,aware,that,he,could,anchor,a,very,solid,rotation,that,could,include,Beckett,"","",-LRB-,-LRB-,Jon,-RRB-,-RRB-,Lester,"","",-LRB-,-LRB-,Clay,-RRB-,-RRB-,Buchholz,"","",and,-LRB-,-LRB-,Jonathan,-RRB-,-RRB-,Papelbon,for,many,years,.,''}",45,1,23,1
AFP_ENG_20070813.0190.LDC2009T13_253_8-AFP_ENG_20070813.0190.LDC2009T13_253_2,AFP_ENG_20070813.0190.LDC2009T13_253,Craig Gordon-Neil Alexander,,0.026,"{Goalkeepers,:,Neil,Alexander,-LRB-,""Ipswich\\/ENG"",-RRB-,"","",Craig,Gordon,-LRB-,""Sunderland\\/ENG"",-RRB-,"","",David,Marshall,-LRB-,""Norwich\\/ENG"",-RRB-,"","",Allan,McGregor,-LRB-,Rangers,-RRB-}",8,2,2,2
AFP_ENG_20080418.0649.LDC2009T13_333_19-AFP_ENG_20080418.0649.LDC2009T13_333_40,AFP_ENG_20080418.0649.LDC2009T13_333,Guti-Javier Saviola,,0.004,"{Training,sessions,on,Thursday,suggested,Schuster,is,about,to,spring,a,surprise,and,ask,Raul,to,drop,back,into,Guti,'s,role,and,"","",in,the,absence,of,the,still,-,injured,Ruud,van,Nistelrooy,"","",start,with,the,unsettled,Javier,Saviola,.}",19,1,40,2
NYT_ENG_20070523.0136.LDC2009T13_250_26-NYT_ENG_20070523.0136.LDC2009T13_250_0,NYT_ENG_20070523.0136.LDC2009T13_250,Shelly-Jenna,,0,"{Jenna,feels,safer,at,work,"","",where,she,finds,support,from,sassy,co,-,worker,Becky,-LRB-,Cheryl,Hines,-RRB-,and,mousy,Dawn,"","",played,by,Shelly,"","",all,of,whose,scenes,underline,the,tragedy,of,her,death,.}",26,1,0,1
eng-WL-11-174577-12936841_40_9-eng-WL-11-174577-12936841_40_23,eng-WL-11-174577-12936841_40,Joss Stone-Harry Belafonte,,0.014,"{Other,celebrities,that,took,part,are,Amy,Winehouse,"","",Joss,Stone,"","",Placido,Domingo,"","",Moby,"","",and,``,King,of,Calypso,'',Harry,Belafonte,.}",9,2,23,2
APW_ENG_20071208.0369.LDC2009T13_497_8-APW_ENG_20071208.0369.LDC2009T13_497_2,APW_ENG_20071208.0369.LDC2009T13_497,Gambhir-Sami,,0.006,"{Pace,bowler,Sami,induced,an,edge,from,opener,Gambhir,-LRB-,5,-RRB-,to,wicket-keeper,Kamran,Akmal,before,debutante,pace,bowler,Yasir,Arafat,-LRB-,3-98,-RRB-,wrecked,the,top,order,by,dismissing,Rahul,Dravid,-LRB-,19,-RRB-,"","",Wasim,Jaffer,-LRB-,17,-RRB-,and,V.V.S.,Laxman,-LRB-,5,-RRB-,in,quick,succession,.}",8,1,2,1
AFP_ENG_20071115.0188.LDC2009T13_122_11-AFP_ENG_20071115.0188.LDC2009T13_122_16,AFP_ENG_20071115.0188.LDC2009T13_122,John Paul Jones-Bonham,,0.018,"{Lead,singer,Robert,Plant,Plant,"","",guitarist,Jimmy,Page,and,bassist,John,Paul,Jones,"","",with,Bonham,'s,son,Jason,on,drums,"","",will,headline,the,gig,"","",which,was,delayed,from,this,month,after,Page,injured,a,finger,.}",11,3,16,1
APW_ENG_20070916.0469.LDC2009T13_130_0-APW_ENG_20070916.0469.LDC2009T13_130_9,APW_ENG_20070916.0469.LDC2009T13_130,Juli Inkster-Stacy Prammanasudh,f,0.018,"{Juli,Inkster,"","",Pat,Hurst,"","",Angela,Stanford,and,Stacy,Prammanasudh,also,won,matches,"","",and,with,a,few,more,now-meaningless,contests,still,on,the,course,"","",the,Americans,were,ensured,of,the,cup,and,almost,certain,to,improve,on,their,.590,winning,percentage,in,singles,over,the,history,of,this,event,.}",0,2,9,2
NYT_ENG_20081120.0097.LDC2009T13_715_5-NYT_ENG_20081120.0097.LDC2009T13_715_38,NYT_ENG_20081120.0097.LDC2009T13_715,Maggie-Barry Corbin,,0.002,"{WITH,:,Sissy,Spacek,-LRB-,Maggie,-RRB-,"","",Troy,Garity,-LRB-,Billy,-RRB-,"","",Rebecca,Romijn,-LRB-,Jennifer,-RRB-,"","",David,Matthews,-LRB-,Red,-RRB-,"","",Keith,Carradine,-LRB-,Roy,-RRB-,"","",Colin,Ford,-LRB-,Clayton,-RRB-,"","",Barry,Corbin,-LRB-,George,-RRB-,and,Drea,De,Matteo,-LRB-,Hope,-RRB-,.}",5,1,38,2
NYT_ENG_20081024.0120.LDC2009T13_1504_21-NYT_ENG_20081024.0120.LDC2009T13_1504_30,NYT_ENG_20081024.0120.LDC2009T13_1504,Alasdhair Willis-Stella McCartney,t,0.914,"{This,fall,he,'s,having,a,show,in,London,at,Established,&,amp,;,Sons,Gallery,"","",co-founded,in,2005,by,Alasdhair,Willis,"","",who,is,married,to,fashion,designer,Stella,McCartney,.}",21,2,30,2
AFP_ENG_20080325.0211.LDC2009T13_76_18-AFP_ENG_20080325.0211.LDC2009T13_76_6,AFP_ENG_20080325.0211.LDC2009T13_76,Benazir Bhutto-Gilani,,0.014,"{``,The,PM,hopes,prime,minister,Gilani,will,build,on,the,initiatives,taken,by,-LRB-,former,premiers,-RRB-,Benazir,Bhutto,and,Nawaz,Sharif,as,well,as,President,Pervez,Musharraf,to,improve,bilateral,relations,"","",'',an,official,quoted,Singh,as,saying,.}",18,2,6,1
AFP_ENG_20080518.0457.LDC2009T13_785_5-AFP_ENG_20080518.0457.LDC2009T13_785_23,AFP_ENG_20080518.0457.LDC2009T13_785,Obama-Gerald Ford,,0.006,"{But,"","",interestingly,enough,"","",Obama,and,McCain,are,lefties,--,just,like,four,out,of,five,US,presidents,immediately,before,them,:,Gerald,Ford,"","",Ronald,Reagan,"","",George,Bush,Sr,and,Bill,Clinton,.}",5,1,23,2
NYT_ENG_20070921.0044.LDC2009T13_374_5-NYT_ENG_20070921.0044.LDC2009T13_374_46,NYT_ENG_20070921.0044.LDC2009T13_374,Dawn Powell-McCarthy,,0.002,"{Doubleday,has,compared,Christensen,to,Dawn,Powell,and,Mary,McCarthy,"","",but,I,think,the,relationship,is,inexact,;,there,'s,more,authentic,pain,and,emotion,here,than,in,Powell,'s,impeccable,tragicomedies,of,manners,"","",and,Christensen,is,a,more,subtle,"","",gentler,writer,than,McCarthy,"","",who,never,"","",at,any,time,"","",gave,anybody,a,break,.}",5,2,46,1
LTW_ENG_20070206.0143.LDC2009T13_91_17-LTW_ENG_20070206.0143.LDC2009T13_91_29,LTW_ENG_20070206.0143.LDC2009T13_91,Patrick J. Fitzgerald-Dick Cheney,,0.01,"{The,transcript,of,Libby,'s,two,grand,jury,appearances,in,March,2004,also,shows,that,special,prosecutor,Patrick,J.,Fitzgerald,explored,early,on,whether,President,Bush,and,Vice,President,Dick,Cheney,were,involved,in,the,circumstances,leading,to,the,disclosure,of,Plame,'s,identity,as,a,CIA,employee,.}",17,3,29,2
AFP_ENG_20070731.5002.LDC2009T13_126_30-AFP_ENG_20070731.5002.LDC2009T13_126_25,AFP_ENG_20070731.5002.LDC2009T13_126,Shola Ameobi-Antoine Sibierski,,0.078,"{While,Martins,was,aware,that,Michael,Owen,would,be,out,for,most,of,the,season,"","",he,hardly,anticipated,having,to,form,makeshift,partnerships,with,Antoine,Sibierski,"","",a,half-fit,Shola,Ameobi,and,even,Albert,Luque,on,occasions,.}",30,2,25,2
eng-NG-31-141959-9982030_181_28-eng-NG-31-141959-9982030_181_0,eng-NG-31-141959-9982030_181,Billy Bob Thornton-Renfro,,0.008,"{Renfro,recently,completed,a,role,in,``,The,Informers,"","",'',a,film,adaptation,of,a,Bret,Easton,Ellis,novel,that,stars,Winona,Ryder,"","",Brandon,Routh,and,Billy,Bob,Thornton,.}",28,3,0,1
eng-WL-109-174581-12950812_1718_6-eng-WL-109-174581-12950812_1718_25,eng-WL-109-174581-12950812_1718,Rufus-Jake,,0.01,"{I,saw,that,about,Jake,seeing,Rufus,last,night,in,LA,-,I,love,Jake,and,Rufus,so,that,made,me,happy,indeed,to,hear,Jake,was,out,wnjoying,the,show,!}",6,1,25,1
AFP_ENG_20081112.0162.LDC2009T13_409_14-AFP_ENG_20081112.0162.LDC2009T13_409_19,AFP_ENG_20081112.0162.LDC2009T13_409,George W. Bush-Barack Obama,f,0.162,"{With,increasing,doubts,about,the,future,of,General,Motors,and,apparent,differences,between,President,George,W.,Bush,and,president-elect,Barack,Obama,over,how,to,help,the,auto,industry,"","",share,markets,were,mixed,.}",14,3,19,2
AFP_ENG_20080404.0300.LDC2009T13_159_18-AFP_ENG_20080404.0300.LDC2009T13_159_0,AFP_ENG_20080404.0300.LDC2009T13_159,Benitez-Sami Hyypia,,0.002,"{Sami,Hyypia,"","",Jamie,Carragher,"","",Dirk,Kuyt,and,Ryan,Babel,are,also,candidates,for,a,rest,after,Benitez,admitted,:,``,I,will,need,to,think,carefully,about,my,team,for,the,league,match,.}",18,1,0,2
NYT_ENG_20080204.0217.LDC2009T13_1207_9-NYT_ENG_20080204.0217.LDC2009T13_1207_41,NYT_ENG_20080204.0217.LDC2009T13_1207,Larry Izzo-Rosevelt Colvin,,0.002,"{Players,:,Tedy,Bruschi,-LRB-,free,agent,-RRB-,"","",Larry,Izzo,-LRB-,free,agent,-RRB-,"","",Junior,Seau,-LRB-,free,agent,-RRB-,"","",Adalius,Thomas,-LRB-,2011,-RRB-,"","",Oscar,Lua,-LRB-,2010,-RRB-,"","",Mike,Vrabel,-LRB-,2009,-RRB-,"","",Rosevelt,Colvin,-LRB-,2008,-RRB-,"","",Eric,Alexander,-LRB-,exclusive,rights,free,agent,-RRB-,"","",Pierre,Woods,-LRB-,exclusive,rights,free,agent,-RRB-,.}",9,2,41,2
APW_ENG_20070418.0756.LDC2009T13_51_47-APW_ENG_20070418.0756.LDC2009T13_51_4,APW_ENG_20070418.0756.LDC2009T13_51,Marco Arturo Marelli-Tchaikovsky,,0.006,"{The,other,premieres,are,Tchaikovsky,'s,``,Pique,Dame,"","",'',conducted,by,Seiji,Ozawa,and,directed,by,Vera,Nemirova,;,Verdi,'s,``,La,forza,del,destino,'',with,Zubin,Mehta,and,David,Pountney,"","",and,Richard,Strauss,',``,Capriccio,'',with,Philippe,Jordan,and,Marco,Arturo,Marelli,.}",47,3,4,1
NYT_ENG_20080925.0250.LDC2009T13_1536_26-NYT_ENG_20080925.0250.LDC2009T13_1536_37,NYT_ENG_20080925.0250.LDC2009T13_1536,Arielle Tepper Madover-Sirkin,,0.004,"{Presented,by,the,Shubert,Organization,"","",Elizabeth,I.,McCann,"","",Roger,Berlind,"","",John,Gore,"","",Hirschfeld,Productions,"","",Bill,Kenwright,"","",Emily,Fisher,Landau,"","",Arielle,Tepper,Madover,"","",Peter,May,"","",Chase,Mishkin,and,Spring,Sirkin,.}",26,3,37,1
AFP_ENG_20070314.0274.LDC2009T13_57_33-AFP_ENG_20070314.0274.LDC2009T13_57_45,AFP_ENG_20070314.0274.LDC2009T13_57,Jackie McNamara-Gary Naysmith,,0.012,"{Defenders,:,Graham,Alexander,-LRB-,""Preston\\/ENG"",-RRB-,"","",Russell,Anderson,-LRB-,Aberdeen,-RRB-,"","",Gary,Caldwell,-LRB-,Celtic,-RRB-,"","",Christian,Dailly,-LRB-,West,""Ham\\/ENG"",-RRB-,"","",Stephen,McManus,-LRB-,Celtic,-RRB-,"","",Jackie,McNamara,-LRB-,""Wolves\\/ENG"",-RRB-,"","",Graeme,Murty,-LRB-,""Reading\\/ENG"",-RRB-,"","",Gary,Naysmith,-LRB-,""Everton\\/ENG"",-RRB-,"","",Steven,Pressley,-LRB-,Celtic,-RRB-,"","",David,Weir,-LRB-,Rangers,-RRB-}",33,2,45,2
NYT_ENG_20070420.0013.LDC2009T13_1140_29-NYT_ENG_20070420.0013.LDC2009T13_1140_0,NYT_ENG_20070420.0013.LDC2009T13_1140,Elmer Befuddled-Manuel,,0.01,"{Manuel,"","",who,is,from,Virginia,and,has,the,Blue,Ridge,Mountains,in,his,voice,"","",feels,he,has,been,unfairly,portrayed,as,a,rube,by,Eskin,"","",called,Elmer,Befuddled,and,Grandpa,Charlie,merely,because,of,his,accent,.}",29,2,0,1
eng-NG-31-141957-9977974_886_35-eng-NG-31-141957-9977974_886_38,eng-NG-31-141957-9977974_886,Harvey Keitel-Lou,,0.038,"{Especially,since,I,""\\*"",always,""\\*"",imagine,Lou,Reed,with,the,eyeliner,on,...,like,when,I,was,a,kid,...,and,he,was,so,much,younger,...,not,the,doing,cameos,in,films,with,Harvey,Keitel,style,Lou,of,today,.}",35,2,38,1
NYT_ENG_20070807.0124.LDC2009T13_551_17-NYT_ENG_20070807.0124.LDC2009T13_551_34,NYT_ENG_20070807.0124.LDC2009T13_551,Vladimir Nabokov-Roman Jakobson,,0.1,"{In,re-creating,the,world,of,the,Russian,diaspora,"","",her,attention,wanders,to,more,famous,figures,like,Vladimir,Nabokov,and,Ivan,Bunin,"","",the,poets,Marina,Tsvetaeva,and,Vladislav,Khodasevich,"","",and,the,linguist,Roman,Jakobson,--,none,connected,to,the,Philosophy,Steamer,"","",whose,passengers,were,regarded,by,some,emigres,as,possible,Bolshevik,agents,.}",17,2,34,2
AFP_ENG_20080106.0090.LDC2009T13_210_8-AFP_ENG_20080106.0090.LDC2009T13_210_0,AFP_ENG_20080106.0090.LDC2009T13_210,Steven Gerrard-Benitez,,0.008,"{Benitez,"","",who,was,already,without,injured,captain,Steven,Gerrard,"","",still,felt,confident,enough,to,rest,Fernando,Torres,and,Jose,Reina,.}",8,2,0,1
eng-WL-11-174592-12940825_23_30-eng-WL-11-174592-12940825_23_5,eng-WL-11-174592-12940825_23,Tiffany Thiessen-Shannen Doherty,,0.01,"{As,their,former,catfighting,castmates,Shannen,Doherty,and,Jeannie,Garth,returned,to,the,tube,in,the,all-new,'',90210,'',on,The,CW,"","",former,teen,idols,Jason,Priestley,and,Tiffany,Thiessen,made,an,appearance,at,the,Nike,and,Human,Race,post,run,concert,this,weekend,in,Los,Angeles,.}",30,2,5,2
1405@8_36-1405@8_27,1405@8,Brent Scowcroft-Henry A. Kissinger,,0.002,"{The,honorary,pallbearers,included,Vice,President,Dick,Cheney,and,Donald,H.,Rumsfeld,"","",former,defense,secretary,"","",who,both,served,as,chief,of,staff,to,Ford,;,Henry,A.,Kissinger,"","",former,secretary,of,state,;,Brent,Scowcroft,"","",former,national,security,adviser,;,and,Alan,Greenspan,"","",who,led,Ford,'s,council,of,economic,advisers,years,before,he,became,chairman,of,the,Federal,Reserve,.}",36,2,27,3
NYT_ENG_20071223.0204.LDC2009T13_400_3-NYT_ENG_20071223.0204.LDC2009T13_400_16,NYT_ENG_20071223.0204.LDC2009T13_400,Barbara Morgan-Martha Graham,,0.03,"{Their,mother,"","",Barbara,Morgan,"","",was,a,photographer,whose,subjects,included,dancers,and,choreographers,like,Martha,Graham,"","",Erick,Hawkins,"","",Jose,Limon,"","",Doris,Humphrey,and,Merce,Cunningham,.}",3,2,16,2
eng-WL-11-174592-12942880_16_8-eng-WL-11-174592-12942880_16_24,eng-WL-11-174592-12942880_16,Rachel Bilson-Hayden Christensen,t,0.264,"{The,rumor,mill,was,buzzing,last,week,if,Rachel,Bilson,of,the,recently,canceled,``,The,O.C.,'',and,her,``,Jumper,'',co-star,Hayden,Christensen,are,Hollywood,'s,latest,hot,couple,as,the,former,Newport,beauty,was,seen,feeding,her,hunky,Darth,Vader,on,Wednesday,.}",8,2,24,2
eng-WL-11-174595-12967745_365_21-eng-WL-11-174595-12967745_365_35,eng-WL-11-174595-12967745_365,Vanessa Minnillo-Vanessa,f,0.004,"{Rob,Schneider,paid,a,little,visit,to,MTV,'s,TRL,yesterday,and,engaged,VJ,-LRB-,and,sometimes,Nick,Lachey,paramour,-RRB-,Vanessa,Minnillo,in,a,little,sunflower,seed,spitting,contest,...,unfortch,for,Nick,"","",Vanessa,likes,to,spit,...}",21,2,35,1
eng-WL-11-174643-13000135_77_7-eng-WL-11-174643-13000135_77_16,eng-WL-11-174643-13000135_77,Reece Viola Hamilton-Brody Jo Hamilton,f,0.086,"{They,have,two,children,together,:,daughters,Reece,Viola,Hamilton,was,born,in,October,2003,and,Brody,Jo,Hamilton,was,born,on,January,1,2008,in,Hawaii,.}",7,3,16,3
NYT_ENG_20071115.0144.LDC2009T13_1025_37-NYT_ENG_20071115.0144.LDC2009T13_1025_17,NYT_ENG_20071115.0144.LDC2009T13_1025,Jennifer Weiss-Bill Pankow,,0.02,"{Written,and,directed,by,Brian,De,Palma,;,director,of,photography,"","",Jonathon,Cliff,;,edited,by,Bill,Pankow,;,production,designer,"","",Phillip,Barker,;,produced,by,Jason,Kliot,"","",Simone,Urdl,"","",Joana,Vicente,and,Jennifer,Weiss,;,released,by,HDNet,Films,and,Magnolia,Pictures,.}",37,2,17,2
